"H","21","branche","GP04","-1","-1","2","5","-1","5","2","2","5","5","35",,"19:15:00","22:30:00","10","Non","Mardi, Jeudi, Vendredi","3","4"
"H","22","double diplome","","-1","-1","2","5","5","2","5","5","2","2","20",,"19:30:00","23:00:00","10","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","4","6"
"H","22","branche","GI04","2","-1","2","5","-1","-1","2","5","2","5","20",,"19:00:00","22:00:00","15","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","5","6"
"F","18","tronc commun","TC02","0","5","0","0","2","5","5","0","5","5","15",,"20:00:00","22:00:00","10","Non","Mardi, Jeudi","2","4"
"H","21","branche","GB04","2","0","2","0","0","0","5","5","5","5","7",,"20:00:00","22:00:00","4","Oui","Mercredi","4","5"
"F","21","branche","GB02","0","0","0","0","2","0","2","0","5","5","15",,"19:00:00","22:00:00","10","Oui","Jeudi, Vendredi","4","4"
"H","21","tronc commun","TC05","-1","2","-1","2","-5","2","0","5","0","5","25",,"20:30:00","22:00:00","10","Non","Mardi, Mercredi, Jeudi, Vendredi","2","4"
"F","20","tronc commun","TC04","0","0","-1","0","2","0","0","0","0","5","30",,"20:30:00","22:00:00","5","Oui","Mercredi, Vendredi","2","6"
"F","18","tronc commun","TC02","0","0","0","0","0","0","0","0","0","5","20",,"20:00:00","22:00:00","5","Oui","Mardi, Jeudi","1","3"
"H","21","branche","GM02","5","5","5","2","2","2","2","5","5","5","20",,"20:30:00","22:00:00","6","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","4","4"
"H","18","tronc commun","TC04","0","0","2","5","-1","2","5","5","2","5","25",,"20:00:00","22:00:00","10","Non","Jeudi, Vendredi","3","6"
"F","19","tronc commun","TC02","5","0","0","2","5","0","2","0","2","5","20",,"20:15:00","22:15:00","12","Oui","Lundi, Mardi, Mercredi, Jeudi, Vendredi","3","7"
"F","19","tronc commun","TC02","0","2","0","2","-1","2","-1","2","2","2","25",,"20:15:00","22:00:00","5","Non","Jeudi, Vendredi","3","8"
"H","22","branche","GI04","5","5","5","0","2","5","0","0","0","5","30",,"18:30:00","22:00:00","14","Non","Mardi, Jeudi, Vendredi","2","4"
"F","22","branche","GI04","5","2","0","-1","-5","-5","-5","2","2","5","15",,"20:30:00","21:30:00","10","Oui","Lundi, Mardi, Mercredi","4","3"
"H","22","branche","GSU02","5","-1","-1","-1","-1","-1","-1","-1","5","5","20",,"18:30:00","21:00:00","10","Non","Lundi, Mardi, Mercredi, Jeudi","4","2"
"F","20","tronc commun","TC04","2","0","-1","2","2","-5","0","0","0","2","20",,"20:00:00","22:00:00","5","Oui","Mardi, Jeudi, Vendredi","3","5"
"H","2","branche","GI04","2","2","0","5","2","2","0","-1","5","2","15",,"19:30:00","22:00:00","10","Oui","Lundi, Vendredi","4","6"
"H","18","tronc commun","TC02","5","0","-1","2","2","0","2","0","-1","2","30",,"20:00:00","22:00:00","6","Oui","Lundi, Jeudi, Vendredi","2","6"
"F","22","branche","GSM04","0","0","-1","0","5","0","2","5","0","5","15",,"20:00:00","23:00:00","10","Non","Mercredi, Jeudi, Vendredi","3","7"
"H","21","branche","GI04","5","0","0","0","-1","0","-1","0","-1","-1","15",,"20:00:00","22:00:00","20","Oui","Jeudi, Vendredi","2","4"
"H","20","branche","GSM02","2","5","2","2","-1","5","2","5","2","2","20",,"20:00:00","22:00:00","5","Non","Mardi, Jeudi, Vendredi","3","7"
"H","21","branche","GM01","0","2","2","5","-5","5","2","2","5","5","25",,"20:15:00","22:30:00","20","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","5","3"
"H","24","branche","GI07","-1","5","0","-5","-5","2","-5","5","2","-5","15",,"18:15:00","22:45:00","6","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","4","2"
"F","20","branche","GSU02","5","0","2","-1","-1","0","5","0","2","5","20",,"20:00:00","22:40:00","7","Oui","Mercredi, Jeudi, Vendredi","2","10"
"H","19","tronc commun","TC02","2","-1","-1","5","-1","5","2","2","5","2","15",,"19:30:00","22:00:00","10","Oui","Jeudi, Vendredi","4","4"
"F","18","tronc commun","TC02","2","0","-1","0","5","0","0","0","0","-1","30",,"18:30:00","22:00:00","6","Non","Mardi, Jeudi","2","4"
"H","19","branche","GI01","5","2","2","5","-1","-1","2","-1","5","5","30",,"20:00:00","22:00:00","5","Oui","Lundi, Mardi, Jeudi, Vendredi","2","5"
"H","20","tronc commun","TC02","-5","2","-1","2","-1","-1","2","2","2","5","30",,"18:30:00","22:00:00","15","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","3","4"
"H","22","branche","GB03","2","0","0","2","0","5","2","2","5","5","25",,"19:15:00","21:30:00","6","Oui","Mercredi, Jeudi, Vendredi","1","3"
"F","20","tronc commun","TC04","2","0","0","2","-5","0","2","-1","5","2","30",,"20:30:00","22:00:00","10","Oui","Jeudi, Vendredi","3","5"
"F","19","branche","GM02","5","0","2","5","0","0","0","0","5","5","20",,"20:00:00","22:00:00","15","Oui","Mardi, Jeudi, Vendredi","2","6"
"F","21","branche","GM04","5","-5","-1","0","2","0","0","0","5","5","25",,"19:30:00","22:30:00","8","Oui","Vendredi","3","3"
"F","19","tronc commun","TC02","0","0","0","0","5","0","5","2","0","0","10",,"20:30:00","22:00:00","10","Oui","Jeudi, Vendredi","3","4"
